"vendor","title","sourceUrl","selectedImageUrl","originalFile","normalizedFile"
"canada-billiard","pacific","https://fgbradleys.com/canada-billiard/#pacific","https://fgbradleys.com/wp-content/uploads/pacific_XLthumbnail.jpg","canada-billiard/originals/pacific.jpg","canada-billiard/normalized-1600x1000/pacific.png"
"canada-billiard","prestige","https://fgbradleys.com/canada-billiard/#prestige","https://fgbradleys.com/wp-content/uploads/prestige_XLthumbnail.jpg","canada-billiard/originals/prestige.jpg","canada-billiard/normalized-1600x1000/prestige.png"
"canada-billiard","Queen Ann II","https://fgbradleys.com/canada-billiard/#queen-ann-ii","https://fgbradleys.com/wp-content/uploads/QueenAnnII_XLthumbnail.jpg","canada-billiard/originals/queen-ann-ii.jpg","canada-billiard/normalized-1600x1000/queen-ann-ii.png"
"canada-billiard","Ranch","https://fgbradleys.com/canada-billiard/#ranch","https://fgbradleys.com/wp-content/uploads/Ranch_XLthumbnail.jpg","canada-billiard/originals/ranch.jpg","canada-billiard/normalized-1600x1000/ranch.png"
"canada-billiard","Rebel Snooker","https://fgbradleys.com/canada-billiard/#rebel-snooker","https://fgbradleys.com/wp-content/uploads/RebelSnooker_XLthumbnail.jpg","canada-billiard/originals/rebel-snooker.jpg","canada-billiard/normalized-1600x1000/rebel-snooker.png"
"canada-billiard","Regance","https://fgbradleys.com/canada-billiard/#regance","https://fgbradleys.com/wp-content/uploads/Regance_XLthumbnail.jpg","canada-billiard/originals/regance.jpg","canada-billiard/normalized-1600x1000/regance.png"
"canada-billiard","Revolution","https://fgbradleys.com/canada-billiard/#revolution","https://fgbradleys.com/wp-content/uploads/Revolution_XLthumbnail.jpg","canada-billiard/originals/revolution.jpg","canada-billiard/normalized-1600x1000/revolution.png"
"canada-billiard","Shack","https://fgbradleys.com/canada-billiard/#shack","https://fgbradleys.com/wp-content/uploads/Shack_XLthumbnail.jpg","canada-billiard/originals/shack.jpg","canada-billiard/normalized-1600x1000/shack.png"
"canada-billiard","Special Anniversary","https://fgbradleys.com/canada-billiard/#special-anniversary","https://fgbradleys.com/wp-content/uploads/SpecialAnniversary_XLthumbnail.jpg","canada-billiard/originals/special-anniversary.jpg","canada-billiard/normalized-1600x1000/special-anniversary.png"
"canada-billiard","Storm","https://fgbradleys.com/canada-billiard/#storm","https://fgbradleys.com/wp-content/uploads/Storm_XLthumbnail.jpg","canada-billiard/originals/storm.jpg","canada-billiard/normalized-1600x1000/storm.png"
